complaint_text,category
traffic signal is breaking apart in the downtown area.,Infrastructure
passport processing is full of errors in the records office.,Administration
dead animal carcass is rotting and stinking near the park.,Sanitation
The weather looks beautiful today.,General
Urgent: illegal racing is out of control outside the mall.,Public Safety
traffic signal is breaking apart near the square.,Infrastructure
heart rate is dangerously low in the medical ward.,Healthcare
City gardens is helpful in the park.,General
birth certificate requested a bribe in the records office.,Administration
Attention: tax documents requested a bribe in the records office.,Administration
garbage pile is leaking into drains behind the school.,Sanitation
tax documents is being delayed in the records office.,Administration
violent kidnapping is out of control near Birendra Chowk.,Public Safety
City gardens is helpful in the park.,General
Urgent: raw sewage is leaking into drains behind the school.,Sanitation
trash accumulation is overflowing onto street in the residential alley.,Sanitation
Urgent: raw sewage is attracting rats behind the school.,Sanitation
Attention: clerk behavior is stuck for months at town hall.,Administration
Urgent: clinic hygiene is critical condition near the health clinic.,Healthcare
Report: clerk behavior is full of errors at town hall.,Administration
clinic hygiene is dangerously low at the city hospital.,Healthcare
Attention: ambulance response needs a doctor immediately near the health clinic.,Healthcare
cracked sidewalk needs urgent repair on the main highway.,Infrastructure
suspicious loitering is out of control in the community park.,Public Safety
pothole on road needs urgent repair near the square.,Infrastructure
garbage pile is overflowing onto street near the park.,Sanitation
traffic signal is gushing water at the intersection.,Infrastructure
Report: illegal racing is a threat to life near Birendra Chowk.,Public Safety
Community festival is very nice in the park.,General
Attention: ambulance response is dropping fast near the health clinic.,Healthcare
Urgent: insulin stock is out of stock at the ER.,Healthcare
Report: insulin stock needs a doctor immediately at the city hospital.,Healthcare
clinic hygiene is dropping fast in the medical ward.,Healthcare
gang fighting is a threat to life near Birendra Chowk.,Public Safety
illegal dumping is rotting and stinking in the residential alley.,Infrastructure
Urgent: Website layout is a great event in the park.,General
Attention: heart rate is dropping fast at the ER.,Healthcare
illegal dumping is overflowing onto street outside my house.,Sanitation
official website is being delayed at city hall.,Administration
clinic hygiene is critical condition at the ER.,Healthcare
Urgent: permit application is stuck for months at city hall.,Administration
clerk behavior keeps crashing on the government portal.,Administration
gang fighting happened just now outside the mall.,Public Safety
The weather looks beautiful in the park.,General
tax documents keeps crashing in the records office.,Administration
medical emergency needs a doctor immediately in the medical ward.,Healthcare
ambulance response is dropping fast in the medical ward.,Healthcare
Attention: blood pressure needs a doctor immediately at the ER.,Healthcare
water pipe leak is gushing water in the downtown area.,Infrastructure
Report: traffic signal needs urgent repair near the square.,Infrastructure
blood pressure is dangerously low near the health clinic.,Healthcare
Attention: ambulance response is critical condition in the medical ward.,Healthcare
bridge support needs urgent repair on the main highway.,Infrastructure
street lights is breaking apart on the main highway.,Infrastructure
permit application requested a bribe at city hall.,Administration
Urgent: passport processing is stuck for months at city hall.,Administration
tax documents is being delayed in the records office.,Administration
permit application is full of errors on the government portal.,Administration
water pipe leak is crumbling near the square.,Infrastructure
Website layout is a great event in the park.,General
official website requested a bribe at city hall.,Administration
Report: permit application is full of errors at town hall.,Administration
clerk behavior is stuck for months in the records office.,Administration
clerk behavior is stuck for months in the records office.,Administration
Attention: clinic hygiene is dropping fast at the city hospital.,Healthcare
passport processing is stuck for months on the government portal.,Administration
raw sewage is overflowing onto street outside my house.,Sanitation
violent kidnapping is out of control at the train station.,Public Safety
water pipe leak needs urgent repair in the downtown area.,Infrastructure
dead animal carcass is leaking into drains behind the school.,Sanitation
water pipe leak is gushing water at the intersection.,Infrastructure
Attention: insulin stock needs a doctor immediately at the ER.,Healthcare
clinic hygiene is critical condition at the city hospital.,Healthcare
street lights is breaking apart at the intersection.,Infrastructure
clinic hygiene is critical condition near the health clinic.,Healthcare
Community festival is very nice today.,General
illegal racing reported last night at the train station.,Public Safety
Attention: water pipe leak is gushing water near the square.,Infrastructure
Urgent: official website requested a bribe at town hall.,Administration
Urgent: raw sewage is overflowing onto street in the residential alley.,Sanitation
theft in progress is extremely scary near Birendra Chowk.,Public Safety
traffic signal is gushing water near the square.,Infrastructure
permit application is full of errors in the records office.,Administration
Urgent: insulin stock is critical condition near the health clinic.,Healthcare
garbage pile is rotting and stinking behind the school.,Sanitation
theft in progress is out of control at the train station.,Public Safety
ambulance response needs a doctor immediately in the medical ward.,Healthcare
blood pressure is critical condition near the health clinic.,Healthcare
The weather is a great event today.,General
Report: Community festival looks beautiful in the park.,General
tax documents is being delayed in the records office.,Administration
birth certificate requested a bribe at town hall.,Administration
permit application is stuck for months on the government portal.,Administration
Urgent: heart rate needs a doctor immediately at the ER.,Healthcare
traffic signal is dangerous for cars at the intersection.,Infrastructure
recycling bin is overflowing onto street near the park.,Sanitation
Report: blood pressure is critical condition at the ER.,Healthcare
passport processing requested a bribe on the government portal.,Administration
official website keeps crashing in the records office.,Administration
clerk behavior is stuck for months in the records office.,Administration
violent kidnapping reported last night near Birendra Chowk.,Public Safety
Urgent: recycling bin is rotting and stinking near the park.,Sanitation
Attention: cracked sidewalk is dangerous for cars in the downtown area.,Infrastructure
Attention: gang fighting is extremely scary near Birendra Chowk.,Public Safety
medical emergency is dangerously low near the health clinic.,Healthcare
Urgent: suspicious loitering is a threat to life near Birendra Chowk.,Public Safety
Website layout is a great event today.,General
passport processing is full of errors on the government portal.,Administration
cracked sidewalk is breaking apart at the intersection.,Infrastructure
permit application requested a bribe in the records office.,Administration
Urgent: violent kidnapping is out of control outside the mall.,Public Safety
recycling bin is overflowing onto street outside my house.,Sanitation
bridge support is breaking apart on the main highway.,Infrastructure
The parade is a great event this morning.,General
trash accumulation is overflowing onto street outside my house.,Sanitation
suspicious loitering happened just now outside the mall.,Public Safety
Attention: official website is being delayed in the records office.,Administration
Urgent: permit application requested a bribe on the government portal.,Administration
Urgent: bridge support needs urgent repair on the main highway.,Infrastructure
Website layout is interesting in the park.,General
official website requested a bribe in the records office.,Administration
garbage pile is attracting rats outside my house.,Sanitation
cracked sidewalk needs urgent repair near the square.,Infrastructure
Report: insulin stock is critical condition at the city hospital.,Healthcare
dead animal carcass is attracting rats near the park.,Sanitation
heart rate is out of stock at the city hospital.,Healthcare
Report: blood pressure is dangerously low near the health clinic.,Healthcare
City gardens is a great event in the park.,Administration
Community festival is a great event this morning.,General
trash accumulation is overflowing onto street near the park.,Sanitation
garbage pile is attracting rats near the park.,Sanitation
traffic signal is dangerous for cars at the intersection.,Infrastructure
bridge support is breaking apart on the main highway.,Infrastructure
official website is full of errors on the government portal.,Administration
official website requested a bribe at town hall.,Administration
Attention: theft in progress is extremely scary near Birendra Chowk.,Public Safety
ambulance response is dangerously low in the medical ward.,Healthcare
raw sewage is overflowing onto street behind the school.,Sanitation
traffic signal needs urgent repair on the main highway.,Infrastructure
Attention: clinic hygiene is out of stock near the health clinic.,Healthcare
medical emergency needs a doctor immediately at the city hospital.,Healthcare
blood pressure is out of stock near the health clinic.,Healthcare
clerk behavior keeps crashing on the government portal.,Administration
pothole on road is breaking apart in the downtown area.,Infrastructure
Report: Community festival looks beautiful for everyone.,General
Urgent: official website keeps crashing at town hall.,Administration
Community festival is very nice this morning.,General
illegal dumping is rotting and stinking in the residential alley.,Sanitation
clinic hygiene is dropping fast at the city hospital.,Healthcare
illegal racing happened just now in the community park.,Public Safety
Urgent: official website is stuck for months on the government portal.,Administration
tax documents is full of errors at city hall.,Administration
The weather is very nice today.,General
raw sewage is leaking into drains behind the school.,Sanitation
insulin stock is critical condition at the city hospital.,Healthcare
illegal racing is out of control at the train station.,Public Safety
theft in progress is out of control in the community park.,Public Safety
The weather is very nice this morning.,General
Attention: street lights is dangerous for cars on the main highway.,Infrastructure
Website layout is interesting today.,General
illegal racing is out of control near Birendra Chowk.,Public Safety
permit application is being delayed in the records office.,Administration
heart rate is dropping fast at the city hospital.,Healthcare
Report: The weather is very nice in the park.,General
heart rate is critical condition near the health clinic.,Healthcare
bridge support needs urgent repair in the downtown area.,Infrastructure
theft in progress is out of control outside the mall.,Public Safety
Report: Website layout is very nice in the park.,General
insulin stock is dangerously low near the health clinic.,Healthcare
Report: water pipe leak is breaking apart near the square.,Infrastructure
Urgent: The parade is very nice this morning.,General
ambulance response needs a doctor immediately at the city hospital.,Healthcare
raw sewage is rotting and stinking in the residential alley.,Sanitation
bridge support needs urgent repair on the main highway.,Infrastructure
clinic hygiene is out of stock at the ER.,Healthcare
City gardens is helpful this morning.,General
Report: traffic signal is dangerous for cars near the square.,Infrastructure
Attention: The parade is interesting in the park.,General
Report: medical emergency is dropping fast at the ER.,Healthcare
street lights needs urgent repair on the main highway.,Infrastructure
permit application is full of errors on the government portal.,Administration
Attention: pothole on road is crumbling near the square.,Infrastructure
Report: water pipe leak is breaking apart in the downtown area.,Infrastructure
City gardens is very nice for everyone.,General
Urgent: gang fighting is extremely scary at the train station.,Public Safety
gang fighting is out of control outside the mall.,Public Safety
Report: traffic signal needs urgent repair in the downtown area.,Infrastructure
illegal racing is a threat to life near Birendra Chowk.,Public Safety
Community festival is a great event for everyone.,General
theft in progress reported last night near Birendra Chowk.,Public Safety
blood pressure is critical condition in the medical ward.,Healthcare
traffic signal is breaking apart on the main highway.,Infrastructure
tax documents is stuck for months at city hall.,Administration
Report: illegal dumping is attracting rats near the park.,Sanitation
bridge support is dangerous for cars near the square.,Infrastructure
raw sewage is attracting rats outside my house.,Sanitation
insulin stock needs a doctor immediately near the health clinic.,Healthcare
pothole on road is breaking apart at the intersection.,Infrastructure
gang fighting is a threat to life at the train station.,Public Safety
trash accumulation is attracting rats near the park.,Sanitation
Urgent: garbage pile is attracting rats near the park.,Sanitation
The parade is helpful in the park.,General
The weather looks beautiful today.,General
street lights is gushing water near the square.,Infrastructure
The weather looks beautiful today.,General
permit application is full of errors in the records office.,Administration
Urgent: garbage pile is rotting and stinking near the park.,Sanitation
Report: insulin stock is critical condition at the city hospital.,Healthcare
gang fighting reported last night at the train station.,Public Safety
heart rate is critical condition near the health clinic.,Healthcare
permit application is stuck for months at city hall.,Administration
The parade is very nice today.,General
Report: pothole on road is dangerous for cars on the main highway.,Infrastructure
gunshots fired is out of control near Birendra Chowk.,Public Safety
raw sewage is rotting and stinking outside my house.,Sanitation
theft in progress happened just now in the community park.,Public Safety
medical emergency is dangerously low near the health clinic.,Healthcare
Attention: heart rate is dropping fast near the health clinic.,Healthcare
clinic hygiene needs a doctor immediately near the health clinic.,Healthcare
Website layout is very nice in the park.,General
Urgent: insulin stock is dropping fast at the ER.,Healthcare
suspicious loitering is out of control near Birendra Chowk.,Public Safety
Website layout is very nice in the park.,General
trash accumulation is attracting rats outside my house.,Sanitation
trash accumulation is attracting rats near the park.,Sanitation
garbage pile is leaking into drains behind the school.,Sanitation
birth certificate is full of errors at city hall.,Administration
Attention: suspicious loitering is out of control outside the mall.,Public Safety
Report: passport processing is being delayed at town hall.,Administration
tax documents keeps crashing in the records office.,Administration
gunshots fired is a threat to life in the community park.,Public Safety
Report: passport processing keeps crashing on the government portal.,Administration
Attention: clinic hygiene needs a doctor immediately in the medical ward.,Healthcare
trash accumulation is overflowing onto street outside my house.,Sanitation
Website layout is a great event in the park.,General
bridge support needs urgent repair near the square.,Infrastructure
Website layout looks beautiful for everyone.,General
pothole on road is breaking apart at the intersection.,Infrastructure
Urgent: suspicious loitering is extremely scary near Birendra Chowk.,Public Safety
The parade is interesting for everyone.,General
birth certificate is full of errors at city hall.,Administration
Website layout looks beautiful for everyone.,General
City gardens is very nice in the park.,General
theft in progress is extremely scary in the community park.,Public Safety
bridge support is crumbling near the square.,Infrastructure
insulin stock is critical condition near the health clinic.,Healthcare
Attention: insulin stock is dropping fast at the city hospital.,Healthcare
violent kidnapping reported last night at the train station.,Public Safety
Urgent: ambulance response is dangerously low in the medical ward.,Healthcare
suspicious loitering is a threat to life outside the mall.,Public Safety
Attention: official website keeps crashing at city hall.,Administration
medical emergency is dropping fast at the ER.,Healthcare
Report: garbage pile is overflowing onto street in the residential alley.,Sanitation
street lights is breaking apart in the downtown area.,Infrastructure
theft in progress is out of control outside the mall.,Public Safety
Urgent: theft in progress happened just now in the community park.,Public Safety
raw sewage is overflowing onto street behind the school.,Sanitation
street lights is dangerous for cars on the main highway.,Infrastructure
Urgent: gunshots fired is extremely scary outside the mall.,Public Safety
City gardens looks beautiful this morning.,General
Report: birth certificate is full of errors in the records office.,Administration
garbage pile is rotting and stinking near the park.,Sanitation
traffic signal is dangerous for cars near the square.,Infrastructure
garbage pile is attracting rats behind the school.,Sanitation
medical emergency is dangerously low at the ER.,Healthcare
Report: illegal dumping is attracting rats in the residential alley.,Sanitation
cracked sidewalk needs urgent repair on the main highway.,Infrastructure
Report: The parade is helpful today.,General
Urgent: water pipe leak is gushing water in the downtown area.,Infrastructure
Attention: suspicious loitering reported last night outside the mall.,Public Safety
clinic hygiene is dropping fast at the city hospital.,Healthcare
Website layout looks beautiful for everyone.,General
pothole on road is dangerous for cars near the square.,Infrastructure
clinic hygiene is critical condition at the city hospital.,Healthcare
Community festival is helpful in the park.,General
illegal dumping is leaking into drains behind the school.,Sanitation
City gardens is helpful for everyone.,General
passport processing keeps crashing at town hall.,Administration
Urgent: illegal dumping is rotting and stinking in the residential alley.,Sanitation
garbage pile is overflowing onto street behind the school.,Sanitation
Attention: The weather is very nice in the park.,General
City gardens is a great event this morning.,General
Community festival is very nice this morning.,General
raw sewage is leaking into drains outside my house.,Sanitation
City gardens is helpful today.,General
Community festival looks beautiful in the park.,General
suspicious loitering is out of control in the community park.,Public Safety
Report: trash accumulation is leaking into drains in the residential alley.,Sanitation
clinic hygiene is dropping fast near the health clinic.,Healthcare
Report: clerk behavior is stuck for months at town hall.,Administration
birth certificate keeps crashing at city hall.,Administration
Urgent: blood pressure is dropping fast near the health clinic.,Administration
Attention: tax documents is being delayed at city hall.,Administration
Report: raw sewage is attracting rats behind the school.,Sanitation
Urgent: official website requested a bribe on the government portal.,Administration
blood pressure is critical condition near the health clinic.,Healthcare
Website layout is interesting today.,General
Urgent: City gardens looks beautiful in the park.,General
The parade is helpful this morning.,General
insulin stock is critical condition near the health clinic.,Healthcare
illegal racing happened just now outside the mall.,Public Safety
Urgent: The weather looks beautiful for everyone.,General
theft in progress is a threat to life near Birendra Chowk.,Public Safety
Urgent: recycling bin is overflowing onto street outside my house.,Sanitation
Community festival is interesting for everyone.,General
bridge support is dangerous for cars in the downtown area.,Infrastructure
Website layout looks beautiful this morning.,General
garbage pile is rotting and stinking outside my house.,Sanitation
dead animal carcass is leaking into drains behind the school.,Sanitation
Website layout looks beautiful for everyone.,General
Attention: gang fighting is extremely scary near Birendra Chowk.,Public Safety
passport processing is being delayed on the government portal.,Administration
Report: violent kidnapping happened just now at the train station.,Public Safety
Attention: The weather is a great event for everyone.,General
blood pressure needs a doctor immediately at the ER.,Healthcare
illegal racing reported last night outside the mall.,Public Safety
violent kidnapping is extremely scary at the train station.,Public Safety
pothole on road needs urgent repair in the downtown area.,Infrastructure
garbage pile is overflowing onto street in the residential alley.,Sanitation
cracked sidewalk needs urgent repair in the downtown area.,Infrastructure
Community festival is a great event today.,General
Report: cracked sidewalk is breaking apart in the downtown area.,Infrastructure
Report: blood pressure needs a doctor immediately near the health clinic.,Healthcare
official website is being delayed at city hall.,Administration
ambulance response is dropping fast at the ER.,Healthcare
street lights is gushing water at the intersection.,Infrastructure
raw sewage is attracting rats behind the school.,Sanitation
garbage pile is overflowing onto street outside my house.,Sanitation
garbage pile is overflowing onto street in the residential alley.,Sanitation
Attention: suspicious loitering reported last night outside the mall.,Public Safety
The weather looks beautiful today.,General
The parade is a great event in the park.,General
illegal dumping is attracting rats outside my house.,Sanitation
Urgent: passport processing is being delayed at town hall.,Administration
pothole on road needs urgent repair in the downtown area.,Infrastructure
gang fighting is out of control outside the mall.,Public Safety
street lights needs urgent repair near the square.,Infrastructure
water pipe leak needs urgent repair on the main highway.,Infrastructure
clinic hygiene is critical condition in the medical ward.,Healthcare
Attention: Website layout is interesting today.,General
garbage pile is overflowing onto street behind the school.,Sanitation
recycling bin is leaking into drains near the park.,Sanitation
Report: The parade is very nice this morning.,General
tax documents is full of errors at city hall.,Administration
Report: The weather is helpful today.,General
garbage pile is leaking into drains outside my house.,Sanitation
The weather looks beautiful in the park.,General
medical emergency is dropping fast at the ER.,Healthcare
The weather is interesting today.,General
Urgent: clinic hygiene is dangerously low near the health clinic.,Healthcare
traffic signal is breaking apart on the main highway.,Infrastructure
ambulance response is critical condition at the ER.,Healthcare
Attention: recycling bin is attracting rats outside my house.,Sanitation
The parade looks beautiful this morning.,General
cracked sidewalk is breaking apart at the intersection.,Infrastructure
Attention: medical emergency is dangerously low near the health clinic.,Healthcare
Urgent: official website is being delayed on the government portal.,Administration
cracked sidewalk is breaking apart on the main highway.,Infrastructure
permit application is stuck for months at city hall.,Administration
Urgent: street lights is crumbling near the square.,Infrastructure
gunshots fired is a threat to life near Birendra Chowk.,Public Safety
Report: The weather is a great event for everyone.,General
Urgent: heart rate is dropping fast near the health clinic.,Healthcare
The parade looks beautiful this morning.,General
medical emergency is dropping fast at the city hospital.,Healthcare
Attention: bridge support is dangerous for cars near the square.,Infrastructure
passport processing requested a bribe on the government portal.,Administration
cracked sidewalk is gushing water at the intersection.,Infrastructure
City gardens is very nice in the park.,General
dead animal carcass is rotting and stinking near the park.,Sanitation
bridge support is crumbling on the main highway.,Infrastructure
Report: garbage pile is rotting and stinking behind the school.,Sanitation
Community festival is very nice this morning.,General
illegal racing is out of control near Birendra Chowk.,Public Safety
Report: The weather is a great event this morning.,General
insulin stock is critical condition near the health clinic.,Healthcare
water pipe leak is breaking apart in the downtown area.,Infrastructure
illegal racing is extremely scary outside the mall.,Public Safety
tax documents is stuck for months at town hall.,Administration
water pipe leak is gushing water near the square.,Infrastructure
raw sewage is attracting rats outside my house.,Sanitation
Website layout is helpful for everyone.,General
Report: clerk behavior is being delayed on the government portal.,Administration
Community festival is a great event today.,General
City gardens is very nice for everyone.,General
Urgent: pothole on road needs urgent repair at the intersection.,Infrastructure
gang fighting is extremely scary in the community park.,Public Safety
recycling bin is overflowing onto street in the residential alley.,Sanitation
medical emergency is out of stock in the medical ward.,Healthcare
Urgent: heart rate needs a doctor immediately at the city hospital.,Healthcare
The weather is helpful in the park.,General
heart rate is dangerously low in the medical ward.,Healthcare
Report: pothole on road needs urgent repair in the downtown area.,Infrastructure
tax documents is full of errors at city hall.,Administration
The weather is a great event for everyone.,General
pothole on road needs urgent repair near the square.,Administration
insulin stock needs a doctor immediately in the medical ward.,Healthcare
traffic signal is crumbling at the intersection.,Infrastructure
street lights is crumbling at the intersection.,Infrastructure
illegal racing is out of control outside the mall.,Public Safety
official website keeps crashing at city hall.,Administration
tax documents requested a bribe at city hall.,Administration
Attention: The weather is helpful today.,General
Urgent: violent kidnapping is out of control near Birendra Chowk.,Public Safety
City gardens is interesting for everyone.,General
Community festival is very nice this morning.,General
official website is stuck for months at town hall.,Administration
clinic hygiene is out of stock at the city hospital.,Healthcare
Urgent: The parade is interesting today.,General
dead animal carcass is leaking into drains near the park.,Sanitation
raw sewage is rotting and stinking in the residential alley.,Sanitation
water pipe leak is breaking apart near the square.,Infrastructure
Community festival is very nice today.,General
Attention: ambulance response needs a doctor immediately in the medical ward.,General
Urgent: passport processing requested a bribe on the government portal.,Administration
Urgent: passport processing is being delayed in the records office.,Administration
illegal racing is a threat to life in the community park.,Public Safety
gunshots fired is extremely scary near Birendra Chowk.,Public Safety
water pipe leak needs urgent repair on the main highway.,Infrastructure
Urgent: suspicious loitering is a threat to life in the community park.,Public Safety
gang fighting reported last night outside the mall.,Public Safety
traffic signal needs urgent repair on the main highway.,Infrastructure
Report: permit application is being delayed at town hall.,Administration
bridge support is crumbling at the intersection.,Infrastructure
illegal dumping is rotting and stinking near the park.,Sanitation
Attention: medical emergency needs a doctor immediately at the ER.,Healthcare
Urgent: suspicious loitering is a threat to life at the train station.,Public Safety
official website requested a bribe in the records office.,Administration
Report: violent kidnapping is extremely scary outside the mall.,Public Safety
Website layout is interesting in the park.,General
permit application is stuck for months at city hall.,Administration
City gardens is helpful this morning.,General
Report: bridge support is dangerous for cars on the main highway.,Infrastructure
trash accumulation is overflowing onto street behind the school.,Sanitation
blood pressure is out of stock at the city hospital.,Healthcare
clinic hygiene needs a doctor immediately at the city hospital.,Healthcare
Attention: insulin stock needs a doctor immediately near the health clinic.,Healthcare
pothole on road is gushing water at the intersection.,Infrastructure
passport processing keeps crashing at town hall.,Administration
permit application is full of errors in the records office.,Administration
gunshots fired is out of control in the community park.,Public Safety
Report: The weather is interesting this morning.,General
traffic signal is gushing water at the intersection.,Infrastructure
Urgent: bridge support needs urgent repair in the downtown area.,Infrastructure
water pipe leak is crumbling at the intersection.,Infrastructure
Urgent: garbage pile is leaking into drains in the residential alley.,Sanitation
recycling bin is leaking into drains near the park.,Sanitation
violent kidnapping is a threat to life at the train station.,Public Safety
cracked sidewalk is breaking apart in the downtown area.,Infrastructure
recycling bin is leaking into drains in the residential alley.,Sanitation
Attention: pothole on road is breaking apart on the main highway.,Infrastructure
water pipe leak is crumbling at the intersection.,Infrastructure
City gardens is very nice in the park.,General
Attention: bridge support needs urgent repair near the square.,Infrastructure
clerk behavior requested a bribe at city hall.,Administration
cracked sidewalk is gushing water near the square.,Infrastructure
Urgent: gang fighting is out of control at the train station.,Public Safety
ambulance response is critical condition in the medical ward.,Healthcare
bridge support is gushing water in the downtown area.,Infrastructure
blood pressure is dangerously low at the ER.,Healthcare
suspicious loitering is out of control outside the mall.,Public Safety
clerk behavior is being delayed in the records office.,Administration
Report: street lights is dangerous for cars on the main highway.,Infrastructure
ambulance response needs a doctor immediately in the medical ward.,Healthcare
recycling bin is rotting and stinking behind the school.,Sanitation
Urgent: clinic hygiene needs a doctor immediately at the ER.,Healthcare
pothole on road needs urgent repair in the downtown area.,Infrastructure
Urgent: pothole on road is dangerous for cars on the main highway.,Infrastructure
traffic signal is breaking apart in the downtown area.,Infrastructure
Report: traffic signal needs urgent repair at the intersection.,Infrastructure
trash accumulation is attracting rats in the residential alley.,Sanitation
Report: theft in progress is a threat to life at the train station.,Public Safety
The parade is very nice for everyone.,General
Urgent: theft in progress is out of control in the community park.,Public Safety
Urgent: dead animal carcass is overflowing onto street near the park.,Sanitation
Urgent: garbage pile is overflowing onto street outside my house.,Sanitation
gang fighting is extremely scary at the train station.,Public Safety
Report: violent kidnapping is extremely scary outside the mall.,Public Safety
Report: gang fighting is extremely scary in the community park.,Public Safety
gang fighting reported last night near Birendra Chowk.,Public Safety
traffic signal needs urgent repair at the intersection.,Infrastructure
Attention: suspicious loitering happened just now near Birendra Chowk.,Public Safety
gunshots fired is out of control at the train station.,Public Safety
official website keeps crashing on the government portal.,Administration
clinic hygiene is critical condition in the medical ward.,Healthcare
raw sewage is attracting rats in the residential alley.,Sanitation
Urgent: Website layout is very nice in the park.,General
raw sewage is attracting rats outside my house.,Sanitation
Attention: raw sewage is overflowing onto street behind the school.,Sanitation
clinic hygiene is dangerously low at the city hospital.,Healthcare
recycling bin is rotting and stinking near the park.,Sanitation
Attention: City gardens looks beautiful for everyone.,General
suspicious loitering happened just now at the train station.,Public Safety
Attention: cracked sidewalk is dangerous for cars at the intersection.,Infrastructure
Urgent: water pipe leak is crumbling on the main highway.,Infrastructure
Urgent: recycling bin is rotting and stinking in the residential alley.,Sanitation
Report: The parade is helpful today.,General
street lights needs urgent repair in the downtown area.,Infrastructure
Report: passport processing keeps crashing at city hall.,Administration
blood pressure is critical condition at the ER.,Healthcare
garbage pile is leaking into drains behind the school.,Sanitation
garbage pile is attracting rats behind the school.,Sanitation
Website layout looks beautiful for everyone.,General
Urgent: ambulance response is critical condition at the city hospital.,Healthcare
trash accumulation is attracting rats behind the school.,Sanitation
garbage pile is overflowing onto street outside my house.,Sanitation
illegal racing is out of control outside the mall.,Public Safety
Attention: illegal racing is a threat to life near Birendra Chowk.,Public Safety
The parade is very nice for everyone.,General
Report: gunshots fired happened just now near Birendra Chowk.,Public Safety
garbage pile is overflowing onto street near the park.,Sanitation
Attention: heart rate is critical condition at the city hospital.,Healthcare
Attention: violent kidnapping happened just now at the train station.,Public Safety
birth certificate is stuck for months at city hall.,Administration
theft in progress happened just now outside the mall.,Public Safety
official website is stuck for months on the government portal.,Administration
birth certificate is being delayed at city hall.,Administration
clerk behavior is stuck for months at town hall.,Administration
blood pressure is dangerously low at the city hospital.,Healthcare
illegal dumping is attracting rats outside my house.,Sanitation
garbage pile is attracting rats in the residential alley.,Sanitation
suspicious loitering is extremely scary in the community park.,Public Safety
medical emergency is dropping fast near the health clinic.,Healthcare
birth certificate is stuck for months at city hall.,Administration
trash accumulation is overflowing onto street behind the school.,Sanitation
dead animal carcass is overflowing onto street in the residential alley.,Sanitation
Report: heart rate is out of stock near the health clinic.,Healthcare
birth certificate keeps crashing in the records office.,Administration
blood pressure is dangerously low near the health clinic.,Healthcare
bridge support is breaking apart at the intersection.,Infrastructure
traffic signal is dangerous for cars in the downtown area.,Infrastructure
Attention: cracked sidewalk needs urgent repair in the downtown area.,Infrastructure
illegal dumping is rotting and stinking near the park.,Sanitation
Urgent: cracked sidewalk is gushing water in the downtown area.,Infrastructure
Urgent: illegal dumping is leaking into drains in the residential alley.,Sanitation
clinic hygiene is dangerously low at the ER.,Healthcare
blood pressure needs a doctor immediately at the ER.,Healthcare
Urgent: clerk behavior requested a bribe in the records office.,Administration
gang fighting is extremely scary at the train station.,Public Safety
tax documents is being delayed on the government portal.,Administration
tax documents is full of errors in the records office.,Administration
dead animal carcass is rotting and stinking behind the school.,Sanitation
The weather looks beautiful for everyone.,General
Report: ambulance response is dropping fast near the health clinic.,Healthcare
gang fighting happened just now near Birendra Chowk.,Public Safety
garbage pile is leaking into drains outside my house.,Sanitation
garbage pile is rotting and stinking near the park.,Sanitation
gang fighting is a threat to life at the train station.,Public Safety
dead animal carcass is attracting rats outside my house.,Sanitation
Urgent: raw sewage is rotting and stinking behind the school.,Sanitation
cracked sidewalk is crumbling in the downtown area.,Infrastructure
Urgent: City gardens is very nice for everyone.,General
bridge support is breaking apart near the square.,Infrastructure
Attention: trash accumulation is rotting and stinking in the residential alley.,Sanitation
Attention: permit application is full of errors on the government portal.,Administration
bridge support needs urgent repair near the square.,Infrastructure
gang fighting happened just now near Birendra Chowk.,Public Safety
dead animal carcass is rotting and stinking in the residential alley.,Sanitation
traffic signal is dangerous for cars at the intersection.,Infrastructure
heart rate is dangerously low near the health clinic.,Healthcare
official website keeps crashing at city hall.,Administration
insulin stock needs a doctor immediately near the health clinic.,Healthcare
Urgent: illegal dumping is attracting rats in the residential alley.,Sanitation
Report: passport processing is full of errors in the records office.,Administration
insulin stock needs a doctor immediately near the health clinic.,Healthcare
Attention: birth certificate is full of errors in the records office.,Administration
official website is full of errors at city hall.,Administration
illegal dumping is rotting and stinking outside my house.,Sanitation
Report: The parade is interesting today.,General
birth certificate is full of errors at town hall.,Administration
Report: insulin stock is out of stock at the ER.,Healthcare
Attention: traffic signal needs urgent repair on the main highway.,Infrastructure
official website is stuck for months at city hall.,Administration
street lights is crumbling in the downtown area.,Infrastructure
passport processing is full of errors at city hall.,Administration
ambulance response is critical condition near the health clinic.,Healthcare
tax documents is being delayed at town hall.,Administration
pothole on road is dangerous for cars on the main highway.,Infrastructure
clinic hygiene is out of stock near the health clinic.,Healthcare
heart rate is dropping fast at the city hospital.,Healthcare
Urgent: permit application keeps crashing on the government portal.,Administration
illegal dumping is leaking into drains near the park.,Sanitation
The weather is a great event in the park.,General
garbage pile is overflowing onto street outside my house.,Sanitation
water pipe leak is dangerous for cars at the intersection.,Infrastructure
permit application requested a bribe at town hall.,Administration
gunshots fired happened just now outside the mall.,Public Safety
ambulance response needs a doctor immediately at the ER.,Healthcare
permit application is full of errors on the government portal.,Administration
Urgent: The weather is interesting this morning.,General
clinic hygiene is dangerously low in the medical ward.,Healthcare
